t,c,d
0s,I,2018-08-03T17:14:45.9482972000
591.2071ms,L,0
614.2332ms,D,1>0
616.2306ms,L,1
616.2306ms,D,2>0
618.2311ms,L,2
619.2345ms,D,3>0
621.2148ms,L,3
626.2357ms,D,4>0
628.2149ms,L,4
632.2368ms,D,5>0
634.2159ms,L,5
1.0945372s,S,2>0
1.1924527s,S,0>2
1.1984526s,S,3>0
1.2874739s,S,2>0
1.3004762s,S,0>3
1.3054877s,S,5>0
1.3964976s,S,1>0
1.4025095s,S,3>0
1.4415184s,S,0>5
1.488529s,S,0>1
1.5085225s,S,4>0
1.578539s,S,5>0
1.5805501s,S,1>0
1.5905523s,S,0>1
1.599544s,S,0>4
1.6815794s,S,0>2
1.6815794s,S,1>0
1.689581s,S,4>0
1.7796001s,S,0>3
1.7796001s,S,2>0
1.881629s,S,0>4
1.881629s,S,3>0
1.9726462s,S,0>5
1.9726462s,S,4>0
2.1096761s,S,5>0
4.0630912s,D,6>0
4.0650905s,L,6
4.1101014s,S,0>6
4.1670933s,D,7>0
4.1690924s,L,7
4.2541155s,S,6>0
4.2601166s,D,8>0
4.2621169s,L,8
4.3581561s,D,9>0
4.3611542s,L,9
4.3961438s,S,0>1
4.4601782s,D,10>0
4.461157s,L,10
4.4861843s,S,0>3
4.5081681s,D,1>6
4.5081681s,S,1>6
4.5671811s,D,11>0
4.5701994s,L,11
4.5902061s,S,0>5
4.598208s,S,6>1
4.6712237s,D,12>0
4.6752166s,L,12
4.6902083s,S,1>0
4.7302179s,S,0>6
4.7542384s,D,13>0
4.7582219s,L,13
4.7812478s,S,1>6
4.8622654s,D,14>0
4.8662636s,L,14
4.873268s,S,0>7
4.9662702s,D,15>0
4.9702865s,L,15
4.9802916s,S,0>8
5.0362855s,S,6>0
5.0622901s,S,0>2
5.0683108s,D,16>0
5.0732927s,L,16
5.1463257s,S,7>0
5.1523267s,D,17>0
5.1523267s,C,0>15
5.1543273s,C,15>0
5.1543273s,C,0>15
5.1553107s,C,15>0
5.1553107s,L,17
5.1603287s,S,0>4
5.1783331s,S,6>1
5.1783331s,S,0>6
5.2133406s,D,2>6
5.2133406s,S,2>6
5.244332s,S,8>0
5.2523345s,S,0>9
5.255334s,S,0>8
5.255334s,S,0>7
5.2593357s,D,18>0
5.2593357s,C,0>10
5.2593357s,C,10>0
5.2593357s,C,0>10
5.2653339s,C,10>0
5.2653339s,L,18
5.2703565s,S,1>6
5.2763579s,D,7>6
5.2763579s,S,7>6
5.3103442s,S,6>2
5.3214312s,D,3>6
5.3214312s,S,3>6
5.3363502s,S,0>11
5.3363502s,S,8>0
5.3363502s,S,0>8
5.3433719s,S,9>0
5.3473728s,D,8>6
